"filename", "language", "HTML", "JavaScript", "SCSS", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\Users\Пользователь\Desktop\site\public\js\teach\clickInUsers.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 4, 32
"c:\Users\Пользователь\Desktop\site\public\js\teach\clickShowTask.js", "JavaScript", 0, 104, 0, 0, 0, 0, 0, 4, 108
"c:\Users\Пользователь\Desktop\site\public\js\teach\clickToGoToStudent.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Пользователь\Desktop\site\public\js\teach\course\editCourse.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 24
"c:\Users\Пользователь\Desktop\site\public\js\teach\course\test\addQuestion.js", "JavaScript", 0, 133, 0, 0, 0, 0, 0, 3, 136
"c:\Users\Пользователь\Desktop\site\public\js\teach\course\test\addTest.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Пользователь\Desktop\site\public\js\teach\course\test\addVariant.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 2, 34
"c:\Users\Пользователь\Desktop\site\public\js\teach\course\test\changeLabel.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 1, 30
"c:\Users\Пользователь\Desktop\site\public\js\teach\course\test\clickInTests.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 4, 31
"c:\Users\Пользователь\Desktop\site\public\js\teach\course\test\deleteTest.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\Пользователь\Desktop\site\public\js\teach\course\test\editTest.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 41
"c:\Users\Пользователь\Desktop\site\public\js\teach\course\test\submitQuestion.js", "JavaScript", 0, 119, 0, 0, 0, 0, 0, 1, 120
"c:\Users\Пользователь\Desktop\site\public\js\teach\deleteCourse.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\Пользователь\Desktop\site\public\js\teach\fillCourseInfo.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 23
"c:\Users\Пользователь\Desktop\site\public\js\teach\mmAdmin\click_buttons.js", "JavaScript", 0, 122, 0, 0, 0, 0, 0, 6, 128
"c:\Users\Пользователь\Desktop\site\public\js\teach\mmAdmin\delete.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Пользователь\Desktop\site\public\js\teach\mmAdmin\editBase.js", "JavaScript", 0, 95, 0, 0, 0, 0, 38, 7, 140
"c:\Users\Пользователь\Desktop\site\public\js\teach\mmAdmin\fillSelectInModelAdd.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 37
"c:\Users\Пользователь\Desktop\site\public\js\teach\mmAdmin\fillSelectInModelEdit.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 19
"c:\Users\Пользователь\Desktop\site\public\js\teach\mmAdmin\getInfoDataBase.js", "JavaScript", 0, 33, 0, 0, 0, 0, 4, 3, 40
"c:\Users\Пользователь\Desktop\site\public\js\teach\navVisual.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Пользователь\Desktop\site\public\js\teach\previewMaterial.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Пользователь\Desktop\site\public\scssA\style.css", "CSS", 0, 0, 0, 261, 0, 0, 0, 31, 292
"c:\Users\Пользователь\Desktop\site\public\scssA\style.scss", "SCSS", 0, 0, 268, 0, 0, 0, 2, 50, 320
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\_fonts.scss", "SCSS", 0, 0, 12, 0, 0, 0, 1, 1, 14
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\_header.scss", "SCSS", 0, 0, 23, 0, 0, 0, 0, 3, 26
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\_modal.scss", "SCSS", 0, 0, 157, 0, 0, 0, 10, 26, 193
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\_nav.scss", "SCSS", 0, 0, 23, 0, 0, 0, 0, 0, 23
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\_vars.scss", "SCSS", 0, 0, 14, 0, 0, 0, 2, 2, 18
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\mixins\_buttons.scss", "SCSS", 0, 0, 32, 0, 0, 0, 1, 5, 38
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\mixins\_font.scss", "SCSS", 0, 0, 10, 0, 0, 0, 1, 1, 12
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\mixins\_icon.scss", "SCSS", 0, 0, 12, 0, 0, 0, 0, 1, 13
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\mixins\_input.scss", "SCSS", 0, 0, 28, 0, 0, 0, 1, 4, 33
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\mixins\_radio.scss", "SCSS", 0, 0, 35, 0, 0, 0, 0, 5, 40
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\mixins\_table.scss", "SCSS", 0, 0, 18, 0, 0, 0, 0, 0, 18
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\modeling\_chart.scss", "SCSS", 0, 0, 52, 0, 0, 0, 0, 12, 64
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\modeling\_generated.scss", "SCSS", 0, 0, 176, 0, 0, 0, 2, 23, 201
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\modeling\_main.scss", "SCSS", 0, 0, 22, 0, 0, 0, 0, 3, 25
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\modeling\_plot.scss", "SCSS", 0, 0, 13, 0, 0, 0, 0, 0, 13
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\modeling\_settingsContainer.scss", "SCSS", 0, 0, 37, 0, 0, 0, 0, 6, 43
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\modeling\_table.scss", "SCSS", 0, 0, 79, 0, 0, 0, 0, 18, 97
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\pages\_addMaterial.scss", "SCSS", 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\pages\_addTest.scss", "SCSS", 0, 0, 164, 0, 0, 0, 0, 12, 176
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\pages\_admin.scss", "SCSS", 0, 0, 37, 0, 0, 0, 0, 3, 40
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\pages\_auth.scss", "SCSS", 0, 0, 64, 0, 0, 0, 0, 11, 75
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\pages\_course.scss", "SCSS", 0, 0, 132, 0, 0, 0, 0, 5, 137
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\pages\_dropdown.scss", "SCSS", 0, 0, 48, 0, 0, 0, 6, 5, 59
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\pages\_modelingAdmin.scss", "SCSS", 0, 0, 90, 0, 0, 0, 0, 17, 107
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\pages\_preview.scss", "SCSS", 0, 0, 15, 0, 0, 0, 0, 0, 15
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\pages\_student.scss", "SCSS", 0, 0, 136, 0, 0, 0, 0, 8, 144
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\pages\_tasks.scss", "SCSS", 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\pages\_teachCourse.scss", "SCSS", 0, 0, 64, 0, 0, 0, 0, 3, 67
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\pages\_teachHeader.scss", "SCSS", 0, 0, 24, 0, 0, 0, 0, 1, 25
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\pages\_teachStudents.scss", "SCSS", 0, 0, 57, 0, 0, 0, 0, 3, 60
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\pages\_user.scss", "SCSS", 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\Пользователь\Desktop\site\public\scssAuth\parts\pages\_userHeader.scss", "SCSS", 0, 0, 24, 0, 0, 0, 0, 1, 25
"c:\Users\Пользователь\Desktop\site\public\scssAuth\style.css", "CSS", 0, 0, 0, 2342, 0, 0, 16, 142, 2500
"c:\Users\Пользователь\Desktop\site\public\scssAuth\style.scss", "SCSS", 0, 0, 42, 0, 0, 0, 2, 7, 51
"c:\Users\Пользователь\Desktop\site\public\scss\style.css", "CSS", 0, 0, 0, 77, 0, 0, 0, 13, 90
"c:\Users\Пользователь\Desktop\site\public\scss\style.scss", "SCSS", 0, 0, 85, 0, 0, 0, 4, 18, 107
"c:\Users\Пользователь\Desktop\site\public\test.js", "JavaScript", 0, 11, 0, 0, 0, 0, 30, 1, 42
"c:\Users\Пользователь\Desktop\site\serv.js", "JavaScript", 0, 344, 0, 0, 0, 0, 130, 23, 497
"c:\Users\Пользователь\Desktop\site\views\addMaterial.ejs", "HTML", 42, 0, 0, 0, 0, 0, 3, 16, 61
"c:\Users\Пользователь\Desktop\site\views\add_test.ejs", "HTML", 304, 0, 0, 0, 0, 0, 13, 43, 360
"c:\Users\Пользователь\Desktop\site\views\admin.ejs", "HTML", 211, 0, 0, 0, 0, 0, 0, 14, 225
"c:\Users\Пользователь\Desktop\site\views\blocks\header.ejs", "HTML", 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Пользователь\Desktop\site\views\course.ejs", "HTML", 70, 0, 0, 0, 0, 0, 80, 13, 163
"c:\Users\Пользователь\Desktop\site\views\course1.ejs", "HTML", 178, 0, 0, 0, 0, 0, 21, 14, 213
"c:\Users\Пользователь\Desktop\site\views\index.ejs", "HTML", 47, 0, 0, 0, 0, 0, 0, 5, 52
"c:\Users\Пользователь\Desktop\site\views\materials\1.ejs", "HTML", 38, 0, 0, 0, 0, 0, 0, 0, 38
"c:\Users\Пользователь\Desktop\site\views\materials\2.ejs", "HTML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Пользователь\Desktop\site\views\materials\4.ejs", "HTML", 15, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\Пользователь\Desktop\site\views\materials\5.ejs", "HTML", 10, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Пользователь\Desktop\site\views\materials\65.ejs", "HTML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Пользователь\Desktop\site\views\materials\67.ejs", "HTML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Пользователь\Desktop\site\views\materials\72.ejs", "HTML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Пользователь\Desktop\site\views\materials\77.ejs", "HTML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Пользователь\Desktop\site\views\materials\78.ejs", "HTML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Пользователь\Desktop\site\views\materials\79.ejs", "HTML", 10, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Пользователь\Desktop\site\views\modeling.ejs", "HTML", 172, 0, 0, 0, 0, 0, 8, 14, 194
"c:\Users\Пользователь\Desktop\site\views\modeling_admin.ejs", "HTML", 651, 0, 0, 0, 0, 0, 20, 31, 702
"c:\Users\Пользователь\Desktop\site\views\preview.ejs", "HTML", 26, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\Пользователь\Desktop\site\views\student.ejs", "HTML", 136, 0, 0, 0, 0, 0, 6, 9, 151
"c:\Users\Пользователь\Desktop\site\views\study.ejs", "HTML", 35, 0, 0, 0, 0, 0, 0, 2, 37
"c:\Users\Пользователь\Desktop\site\views\tasks.ejs", "HTML", 165, 0, 0, 0, 0, 0, 1, 11, 177
"c:\Users\Пользователь\Desktop\site\views\teac.ejs", "HTML", 148, 0, 0, 0, 0, 0, 28, 18, 194
"c:\Users\Пользователь\Desktop\site\views\test.ejs", "HTML", 155, 0, 0, 0, 0, 0, 0, 7, 162
"c:\Users\Пользователь\Desktop\site\views\user.ejs", "HTML", 61, 0, 0, 0, 0, 0, 0, 6, 67
"Total", "-", 2487, 3670, 2021, 2680, 26, 1596, 633, 847, 13960
